Year,Area_of_Residence,Sex,Age_at_Death,VALUE
2007,ROI Total,Female,5 - 9 years,9.0
2007,ROI Total,Female,10 - 14 years,18.0
2007,ROI Total,Female,15 - 19 years,40.0
2007,ROI Total,Female,20 - 24 years,39.0
2007,ROI Total,Female,25 - 29 years,64.0
2007,ROI Total,Female,30 - 34 years,80.0
2007,ROI Total,Female,35 - 39 years,104.0
2007,ROI Total,Female,40 - 44 years,144.0
2007,ROI Total,Female,45 - 49 years,227.0
2007,ROI Total,Female,50 - 54 years,316.0
2007,ROI Total,Female,55 - 59 years,459.0
2007,ROI Total,Female,60 - 64 years,639.0
2007,ROI Total,Female,65 - 69 years,741.0
2007,ROI Total,Female,70 - 74 years,1232.0
2007,ROI Total,Female,75 - 79 years,1821.0
2007,ROI Total,Female,80 - 84 years,2587.0
2007,ROI Total,Female,85 years and over,5078.0
2007,ROI Total,Female,All ages,13726.0
2007,Dublin City,Both sexes,Under 1 year,25.0
2007,Dublin City,Both sexes,1 - 4 years,2.0
2007,Dublin City,Both sexes,5 - 9 years,1.0
2007,Dublin City,Both sexes,10 - 14 years,2.0
2007,Dublin City,Both sexes,15 - 19 years,10.0
2007,Dublin City,Both sexes,20 - 24 years,24.0
2007,Dublin City,Both sexes,25 - 29 years,43.0
2007,Dublin City,Both sexes,30 - 34 years,52.0
2007,Dublin City,Both sexes,35 - 39 years,64.0
2007,Dublin City,Both sexes,40 - 44 years,78.0
2007,Dublin City,Both sexes,45 - 49 years,108.0
2007,Dublin City,Both sexes,50 - 54 years,128.0
2007,Dublin City,Both sexes,55 - 59 years,178.0
2007,Dublin City,Both sexes,60 - 64 years,251.0
2007,Dublin City,Both sexes,65 - 69 years,336.0
2007,Dublin City,Both sexes,70 - 74 years,499.0
2007,Dublin City,Both sexes,75 - 79 years,598.0
2007,Dublin City,Both sexes,80 - 84 years,745.0
2007,Dublin City,Both sexes,85 years and over,1138.0
2007,Dublin City,Both sexes,All ages,4282.0
2007,Dublin City,Male,Under 1 year,9.0
2007,Dublin City,Male,1 - 4 years,1.0
2007,Dublin City,Male,5 - 9 years,1.0
2007,Dublin City,Male,10 - 14 years,2.0
2007,Dublin City,Male,15 - 19 years,8.0
2007,Dublin City,Male,20 - 24 years,23.0
2007,Dublin City,Male,25 - 29 years,28.0
2007,Dublin City,Male,30 - 34 years,37.0
2007,Dublin City,Male,35 - 39 years,34.0
2007,Dublin City,Male,40 - 44 years,52.0
2007,Dublin City,Male,45 - 49 years,72.0
2007,Dublin City,Male,50 - 54 years,79.0
2007,Dublin City,Male,55 - 59 years,109.0
2007,Dublin City,Male,60 - 64 years,152.0
2007,Dublin City,Male,65 - 69 years,210.0
2007,Dublin City,Male,70 - 74 years,284.0
2007,Dublin City,Male,75 - 79 years,294.0
2007,Dublin City,Male,80 - 84 years,325.0
2007,Dublin City,Male,85 years and over,345.0
2007,Dublin City,Male,All ages,2065.0
2007,Dublin City,Female,Under 1 year,16.0
2007,Dublin City,Female,1 - 4 years,1.0
2007,Dublin City,Female,5 - 9 years,0.0
2007,Dublin City,Female,10 - 14 years,0.0
2007,Dublin City,Female,15 - 19 years,2.0
2007,Dublin City,Female,20 - 24 years,1.0
2007,Dublin City,Female,25 - 29 years,15.0
2007,Dublin City,Female,30 - 34 years,15.0
2007,Dublin City,Female,35 - 39 years,30.0
2007,Dublin City,Female,40 - 44 years,26.0
2007,Dublin City,Female,45 - 49 years,36.0
2007,Dublin City,Female,50 - 54 years,49.0
2007,Dublin City,Female,55 - 59 years,69.0
2007,Dublin City,Female,60 - 64 years,99.0
2007,Dublin City,Female,65 - 69 years,126.0
2007,Dublin City,Female,70 - 74 years,215.0
2007,Dublin City,Female,75 - 79 years,304.0
2007,Dublin City,Female,80 - 84 years,420.0
2007,Dublin City,Female,85 years and over,793.0
2007,Dublin City,Female,All ages,2217.0
2007,Fingal,Both sexes,Under 1 year,15.0
2007,Fingal,Both sexes,1 - 4 years,2.0
2007,Fingal,Both sexes,5 - 9 years,0.0
2007,Fingal,Both sexes,10 - 14 years,3.0
2007,Fingal,Both sexes,15 - 19 years,6.0
2007,Fingal,Both sexes,20 - 24 years,6.0
2007,Fingal,Both sexes,25 - 29 years,13.0
2007,Fingal,Both sexes,30 - 34 years,12.0
2007,Fingal,Both sexes,35 - 39 years,14.0
2007,Fingal,Both sexes,40 - 44 years,13.0
2007,Fingal,Both sexes,45 - 49 years,24.0
2007,Fingal,Both sexes,50 - 54 years,39.0
2007,Fingal,Both sexes,55 - 59 years,45.0
2007,Fingal,Both sexes,60 - 64 years,51.0
2007,Fingal,Both sexes,65 - 69 years,89.0
2007,Fingal,Both sexes,70 - 74 years,86.0
2007,Fingal,Both sexes,75 - 79 years,112.0
2007,Fingal,Both sexes,80 - 84 years,98.0
2007,Fingal,Both sexes,85 years and over,199.0
2007,Fingal,Both sexes,All ages,827.0
2007,Fingal,Male,Under 1 year,8.0
2007,Fingal,Male,1 - 4 years,2.0
2007,Fingal,Male,5 - 9 years,0.0
2007,Fingal,Male,10 - 14 years,1.0
2007,Fingal,Male,15 - 19 years,4.0
2007,Fingal,Male,20 - 24 years,5.0
2007,Fingal,Male,25 - 29 years,10.0
2007,Fingal,Male,30 - 34 years,6.0
2007,Fingal,Male,35 - 39 years,10.0
2007,Fingal,Male,40 - 44 years,7.0
2007,Fingal,Male,45 - 49 years,14.0
2007,Fingal,Male,50 - 54 years,23.0
2007,Fingal,Male,55 - 59 years,24.0
2007,Fingal,Male,60 - 64 years,36.0
2007,Fingal,Male,65 - 69 years,58.0
2007,Fingal,Male,70 - 74 years,46.0
2007,Fingal,Male,75 - 79 years,58.0
2007,Fingal,Male,80 - 84 years,45.0
2007,Fingal,Male,85 years and over,70.0
2007,Fingal,Male,All ages,427.0
2007,Fingal,Female,Under 1 year,7.0
2007,Fingal,Female,1 - 4 years,0.0
2007,Fingal,Female,5 - 9 years,0.0
2007,Fingal,Female,10 - 14 years,2.0
2007,Fingal,Female,15 - 19 years,2.0
2007,Fingal,Female,20 - 24 years,1.0
2007,Fingal,Female,25 - 29 years,3.0
2007,Fingal,Female,30 - 34 years,6.0
2007,Fingal,Female,35 - 39 years,4.0
2007,Fingal,Female,40 - 44 years,6.0
2007,Fingal,Female,45 - 49 years,10.0
2007,Fingal,Female,50 - 54 years,16.0
2007,Fingal,Female,55 - 59 years,21.0
2007,Fingal,Female,60 - 64 years,15.0
2007,Fingal,Female,65 - 69 years,31.0
2007,Fingal,Female,70 - 74 years,40.0
2007,Fingal,Female,75 - 79 years,54.0
2007,Fingal,Female,80 - 84 years,53.0
2007,Fingal,Female,85 years and over,129.0
2007,Fingal,Female,All ages,400.0
2007,Dun Laoghaire Rathdown,Both sexes,Under 1 year,11.0
2007,Dun Laoghaire Rathdown,Both sexes,1 - 4 years,1.0
2007,Dun Laoghaire Rathdown,Both sexes,5 - 9 years,1.0
2007,Dun Laoghaire Rathdown,Both sexes,10 - 14 years,0.0
2007,Dun Laoghaire Rathdown,Both sexes,15 - 19 years,5.0
2007,Dun Laoghaire Rathdown,Both sexes,20 - 24 years,6.0
2007,Dun Laoghaire Rathdown,Both sexes,25 - 29 years,10.0
2007,Dun Laoghaire Rathdown,Both sexes,30 - 34 years,4.0
2007,Dun Laoghaire Rathdown,Both sexes,35 - 39 years,10.0
2007,Dun Laoghaire Rathdown,Both sexes,40 - 44 years,12.0
2007,Dun Laoghaire Rathdown,Both sexes,45 - 49 years,30.0
2007,Dun Laoghaire Rathdown,Both sexes,50 - 54 years,28.0
2007,Dun Laoghaire Rathdown,Both sexes,55 - 59 years,44.0
2007,Dun Laoghaire Rathdown,Both sexes,60 - 64 years,58.0
2007,Dun Laoghaire Rathdown,Both sexes,65 - 69 years,86.0
2007,Dun Laoghaire Rathdown,Both sexes,70 - 74 years,122.0
2007,Dun Laoghaire Rathdown,Both sexes,75 - 79 years,178.0
2007,Dun Laoghaire Rathdown,Both sexes,80 - 84 years,241.0
2007,Dun Laoghaire Rathdown,Both sexes,85 years and over,410.0
2007,Dun Laoghaire Rathdown,Both sexes,All ages,1257.0
2007,Dun Laoghaire Rathdown,Male,Under 1 year,6.0
2007,Dun Laoghaire Rathdown,Male,1 - 4 years,1.0
2007,Dun Laoghaire Rathdown,Male,5 - 9 years,0.0
2007,Dun Laoghaire Rathdown,Male,10 - 14 years,0.0
2007,Dun Laoghaire Rathdown,Male,15 - 19 years,3.0
2007,Dun Laoghaire Rathdown,Male,20 - 24 years,5.0
2007,Dun Laoghaire Rathdown,Male,25 - 29 years,4.0
2007,Dun Laoghaire Rathdown,Male,30 - 34 years,1.0
2007,Dun Laoghaire Rathdown,Male,35 - 39 years,5.0
2007,Dun Laoghaire Rathdown,Male,40 - 44 years,8.0
2007,Dun Laoghaire Rathdown,Male,45 - 49 years,16.0
2007,Dun Laoghaire Rathdown,Male,50 - 54 years,16.0
2007,Dun Laoghaire Rathdown,Male,55 - 59 years,29.0
2007,Dun Laoghaire Rathdown,Male,60 - 64 years,34.0
2007,Dun Laoghaire Rathdown,Male,65 - 69 years,46.0
2007,Dun Laoghaire Rathdown,Male,70 - 74 years,65.0
2007,Dun Laoghaire Rathdown,Male,75 - 79 years,91.0
2007,Dun Laoghaire Rathdown,Male,80 - 84 years,105.0
2007,Dun Laoghaire Rathdown,Male,85 years and over,122.0
2007,Dun Laoghaire Rathdown,Male,All ages,557.0
2007,Dun Laoghaire Rathdown,Female,Under 1 year,5.0
2007,Dun Laoghaire Rathdown,Female,1 - 4 years,0.0
2007,Dun Laoghaire Rathdown,Female,5 - 9 years,1.0
2007,Dun Laoghaire Rathdown,Female,10 - 14 years,0.0
2007,Dun Laoghaire Rathdown,Female,15 - 19 years,2.0
2007,Dun Laoghaire Rathdown,Female,20 - 24 years,1.0
2007,Dun Laoghaire Rathdown,Female,25 - 29 years,6.0
2007,Dun Laoghaire Rathdown,Female,30 - 34 years,3.0
2007,Dun Laoghaire Rathdown,Female,35 - 39 years,5.0
2007,Dun Laoghaire Rathdown,Female,40 - 44 years,4.0
2007,Dun Laoghaire Rathdown,Female,45 - 49 years,14.0
2007,Dun Laoghaire Rathdown,Female,50 - 54 years,12.0
2007,Dun Laoghaire Rathdown,Female,55 - 59 years,15.0
2007,Dun Laoghaire Rathdown,Female,60 - 64 years,24.0
2007,Dun Laoghaire Rathdown,Female,65 - 69 years,40.0
2007,Dun Laoghaire Rathdown,Female,70 - 74 years,57.0
2007,Dun Laoghaire Rathdown,Female,75 - 79 years,87.0
2007,Dun Laoghaire Rathdown,Female,80 - 84 years,136.0
2007,Dun Laoghaire Rathdown,Female,85 years and over,288.0
2007,Dun Laoghaire Rathdown,Female,All ages,700.0
2007,South Dublin,Both sexes,Under 1 year,11.0
2007,South Dublin,Both sexes,1 - 4 years,2.0
2007,South Dublin,Both sexes,5 - 9 years,0.0
2007,South Dublin,Both sexes,10 - 14 years,7.0
2007,South Dublin,Both sexes,15 - 19 years,11.0
2007,South Dublin,Both sexes,20 - 24 years,9.0
2007,South Dublin,Both sexes,25 - 29 years,13.0
2007,South Dublin,Both sexes,30 - 34 years,13.0
2007,South Dublin,Both sexes,35 - 39 years,11.0
2007,South Dublin,Both sexes,40 - 44 years,23.0
2007,South Dublin,Both sexes,45 - 49 years,31.0
2007,South Dublin,Both sexes,50 - 54 years,48.0
2007,South Dublin,Both sexes,55 - 59 years,73.0
2007,South Dublin,Both sexes,60 - 64 years,93.0
2007,South Dublin,Both sexes,65 - 69 years,54.0
2007,South Dublin,Both sexes,70 - 74 years,84.0
2007,South Dublin,Both sexes,75 - 79 years,105.0
2007,South Dublin,Both sexes,80 - 84 years,121.0
2007,South Dublin,Both sexes,85 years and over,167.0
2007,South Dublin,Both sexes,All ages,876.0
2007,South Dublin,Male,Under 1 year,4.0
2007,South Dublin,Male,1 - 4 years,2.0
2007,South Dublin,Male,5 - 9 years,0.0
2007,South Dublin,Male,10 - 14 years,6.0
2007,South Dublin,Male,15 - 19 years,8.0
2007,South Dublin,Male,20 - 24 years,5.0
2007,South Dublin,Male,25 - 29 years,10.0
2007,South Dublin,Male,30 - 34 years,8.0
2007,South Dublin,Male,35 - 39 years,9.0
2007,South Dublin,Male,40 - 44 years,16.0
2007,South Dublin,Male,45 - 49 years,21.0
2007,South Dublin,Male,50 - 54 years,25.0
2007,South Dublin,Male,55 - 59 years,47.0
2007,South Dublin,Male,60 - 64 years,56.0
2007,South Dublin,Male,65 - 69 years,38.0
2007,South Dublin,Male,70 - 74 years,47.0
2007,South Dublin,Male,75 - 79 years,57.0
2007,South Dublin,Male,80 - 84 years,55.0
2007,South Dublin,Male,85 years and over,61.0
2007,South Dublin,Male,All ages,475.0
2007,South Dublin,Female,Under 1 year,7.0
2007,South Dublin,Female,1 - 4 years,0.0
2007,South Dublin,Female,5 - 9 years,0.0
2007,South Dublin,Female,10 - 14 years,1.0
2007,South Dublin,Female,15 - 19 years,3.0
2007,South Dublin,Female,20 - 24 years,4.0
2007,South Dublin,Female,25 - 29 years,3.0
2007,South Dublin,Female,30 - 34 years,5.0
2007,South Dublin,Female,35 - 39 years,2.0
2007,South Dublin,Female,40 - 44 years,7.0
2007,South Dublin,Female,45 - 49 years,10.0
2007,South Dublin,Female,50 - 54 years,23.0
2007,South Dublin,Female,55 - 59 years,26.0
2007,South Dublin,Female,60 - 64 years,37.0
2007,South Dublin,Female,65 - 69 years,16.0
2007,South Dublin,Female,70 - 74 years,37.0
2007,South Dublin,Female,75 - 79 years,48.0
2007,South Dublin,Female,80 - 84 years,66.0
2007,South Dublin,Female,85 years and over,106.0
2007,South Dublin,Female,All ages,401.0
2007,Leinster,Both sexes,Under 1 year,110.0
2007,Leinster,Both sexes,1 - 4 years,26.0
2007,Leinster,Both sexes,5 - 9 years,4.0
2007,Leinster,Both sexes,10 - 14 years,26.0
2007,Leinster,Both sexes,15 - 19 years,70.0
2007,Leinster,Both sexes,20 - 24 years,75.0
2007,Leinster,Both sexes,25 - 29 years,94.0
2007,Leinster,Both sexes,30 - 34 years,94.0
2007,Leinster,Both sexes,35 - 39 years,111.0
2007,Leinster,Both sexes,40 - 44 years,153.0
2007,Leinster,Both sexes,45 - 49 years,228.0
2007,Leinster,Both sexes,50 - 54 years,302.0
2007,Leinster,Both sexes,55 - 59 years,449.0
2007,Leinster,Both sexes,60 - 64 years,617.0
2007,Leinster,Both sexes,65 - 69 years,715.0
2007,Leinster,Both sexes,70 - 74 years,927.0
2007,Leinster,Both sexes,75 - 79 years,1289.0
2007,Leinster,Both sexes,80 - 84 years,1565.0
2007,Leinster,Both sexes,85 years and over,2551.0
2007,Leinster,Both sexes,All ages,9406.0
2007,Leinster,Male,Under 1 year,67.0
2007,Leinster,Male,1 - 4 years,13.0
2007,Leinster,Male,5 - 9 years,1.0
2007,Leinster,Male,10 - 14 years,17.0
2007,Leinster,Male,15 - 19 years,49.0
2007,Leinster,Male,20 - 24 years,54.0
2007,Leinster,Male,25 - 29 years,74.0
2007,Leinster,Male,30 - 34 years,59.0
2007,Leinster,Male,35 - 39 years,71.0
2007,Leinster,Male,40 - 44 years,95.0
2007,Leinster,Male,45 - 49 years,139.0
2007,Leinster,Male,50 - 54 years,172.0
2007,Leinster,Male,55 - 59 years,292.0
2007,Leinster,Male,60 - 64 years,402.0
2007,Leinster,Male,65 - 69 years,451.0
2007,Leinster,Male,70 - 74 years,524.0
2007,Leinster,Male,75 - 79 years,690.0
2007,Leinster,Male,80 - 84 years,726.0
2007,Leinster,Male,85 years and over,909.0
2007,Leinster,Male,All ages,4805.0
2007,Leinster,Female,Under 1 year,43.0
2007,Leinster,Female,1 - 4 years,13.0
2007,Leinster,Female,5 - 9 years,3.0
2007,Leinster,Female,10 - 14 years,9.0
2007,Leinster,Female,15 - 19 years,21.0
2007,Leinster,Female,20 - 24 years,21.0
2007,Leinster,Female,25 - 29 years,20.0
2007,Leinster,Female,30 - 34 years,35.0
2007,Leinster,Female,35 - 39 years,40.0
2007,Leinster,Female,40 - 44 years,58.0
2007,Leinster,Female,45 - 49 years,89.0
2007,Leinster,Female,50 - 54 years,130.0
2007,Leinster,Female,55 - 59 years,157.0
2007,Leinster,Female,60 - 64 years,215.0
2007,Leinster,Female,65 - 69 years,264.0
2007,Leinster,Female,70 - 74 years,403.0
2007,Leinster,Female,75 - 79 years,599.0
2007,Leinster,Female,80 - 84 years,839.0
2007,Leinster,Female,85 years and over,1642.0
2007,Leinster,Female,All ages,4601.0
2007,Wicklow,Both sexes,Under 1 year,7.0
2007,Wicklow,Both sexes,1 - 4 years,2.0
2007,Wicklow,Both sexes,5 - 9 years,1.0
2007,Wicklow,Both sexes,10 - 14 years,1.0
2007,Wicklow,Both sexes,15 - 19 years,6.0
2007,Wicklow,Both sexes,20 - 24 years,6.0
2007,Wicklow,Both sexes,25 - 29 years,7.0
2007,Wicklow,Both sexes,30 - 34 years,9.0
2007,Wicklow,Both sexes,35 - 39 years,10.0
2007,Wicklow,Both sexes,40 - 44 years,11.0
2007,Wicklow,Both sexes,45 - 49 years,16.0
2007,Wicklow,Both sexes,50 - 54 years,18.0
2007,Wicklow,Both sexes,55 - 59 years,34.0
2007,Wicklow,Both sexes,60 - 64 years,50.0
2007,Wicklow,Both sexes,65 - 69 years,67.0
2007,Wicklow,Both sexes,70 - 74 years,76.0
2007,Wicklow,Both sexes,75 - 79 years,131.0
2007,Wicklow,Both sexes,80 - 84 years,144.0
2007,Wicklow,Both sexes,85 years and over,223.0
2007,Wicklow,Both sexes,All ages,819.0
2007,Wicklow,Male,Under 1 year,5.0
2007,Wicklow,Male,1 - 4 years,0.0
2007,Wicklow,Male,5 - 9 years,1.0
2007,Wicklow,Male,10 - 14 years,1.0
2007,Wicklow,Male,15 - 19 years,4.0
2007,Wicklow,Male,20 - 24 years,5.0
2007,Wicklow,Male,25 - 29 years,5.0
2007,Wicklow,Male,30 - 34 years,6.0
2007,Wicklow,Male,35 - 39 years,5.0
2007,Wicklow,Male,40 - 44 years,5.0
2007,Wicklow,Male,45 - 49 years,9.0
2007,Wicklow,Male,50 - 54 years,8.0
2007,Wicklow,Male,55 - 59 years,24.0
2007,Wicklow,Male,60 - 64 years,30.0
2007,Wicklow,Male,65 - 69 years,44.0
2007,Wicklow,Male,70 - 74 years,40.0
2007,Wicklow,Male,75 - 79 years,58.0
2007,Wicklow,Male,80 - 84 years,72.0
2007,Wicklow,Male,85 years and over,78.0
2007,Wicklow,Male,All ages,400.0
2007,Wicklow,Female,Under 1 year,2.0
2007,Wicklow,Female,1 - 4 years,2.0
2007,Wicklow,Female,5 - 9 years,0.0
2007,Wicklow,Female,10 - 14 years,0.0
2007,Wicklow,Female,15 - 19 years,2.0
2007,Wicklow,Female,20 - 24 years,1.0
2007,Wicklow,Female,25 - 29 years,2.0
2007,Wicklow,Female,30 - 34 years,3.0
2007,Wicklow,Female,35 - 39 years,5.0
2007,Wicklow,Female,40 - 44 years,6.0
2007,Wicklow,Female,45 - 49 years,7.0
2007,Wicklow,Female,50 - 54 years,10.0
2007,Wicklow,Female,55 - 59 years,10.0
2007,Wicklow,Female,60 - 64 years,20.0
2007,Wicklow,Female,65 - 69 years,23.0
2007,Wicklow,Female,70 - 74 years,36.0
2007,Wicklow,Female,75 - 79 years,73.0
2007,Wicklow,Female,80 - 84 years,72.0
2007,Wicklow,Female,85 years and over,145.0
2007,Wicklow,Female,All ages,419.0
2007,Arklow Town,Both sexes,Under 1 year,0.0
2007,Arklow Town,Both sexes,1 - 4 years,0.0
2007,Arklow Town,Both sexes,5 - 9 years,0.0
2007,Arklow Town,Both sexes,10 - 14 years,0.0
2007,Arklow Town,Both sexes,15 - 19 years,0.0
2007,Arklow Town,Both sexes,20 - 24 years,2.0
2007,Arklow Town,Both sexes,25 - 29 years,1.0
2007,Arklow Town,Both sexes,30 - 34 years,1.0
2007,Arklow Town,Both sexes,35 - 39 years,3.0
2007,Arklow Town,Both sexes,40 - 44 years,0.0
2007,Arklow Town,Both sexes,45 - 49 years,1.0
2007,Arklow Town,Both sexes,50 - 54 years,2.0
2007,Arklow Town,Both sexes,55 - 59 years,3.0
2007,Arklow Town,Both sexes,60 - 64 years,3.0
2007,Arklow Town,Both sexes,65 - 69 years,11.0
2007,Arklow Town,Both sexes,70 - 74 years,17.0
2007,Arklow Town,Both sexes,75 - 79 years,17.0
2007,Arklow Town,Both sexes,80 - 84 years,19.0
2007,Arklow Town,Both sexes,85 years and over,24.0
2007,Arklow Town,Both sexes,All ages,104.0
2007,Arklow Town,Male,Under 1 year,0.0
2007,Arklow Town,Male,1 - 4 years,0.0
2007,Arklow Town,Male,5 - 9 years,0.0
2007,Arklow Town,Male,10 - 14 years,0.0
2007,Arklow Town,Male,15 - 19 years,0.0
2007,Arklow Town,Male,20 - 24 years,2.0
2007,Arklow Town,Male,25 - 29 years,0.0
2007,Arklow Town,Male,30 - 34 years,1.0
2007,Arklow Town,Male,35 - 39 years,2.0
2007,Arklow Town,Male,40 - 44 years,0.0
2007,Arklow Town,Male,45 - 49 years,0.0
2007,Arklow Town,Male,50 - 54 years,2.0
2007,Arklow Town,Male,55 - 59 years,1.0
2007,Arklow Town,Male,60 - 64 years,2.0
2007,Arklow Town,Male,65 - 69 years,7.0
2007,Arklow Town,Male,70 - 74 years,9.0
2007,Arklow Town,Male,75 - 79 years,10.0
2007,Arklow Town,Male,80 - 84 years,9.0
2007,Arklow Town,Male,85 years and over,8.0
2007,Arklow Town,Male,All ages,53.0
2007,Arklow Town,Female,Under 1 year,0.0
2007,Arklow Town,Female,1 - 4 years,0.0
2007,Arklow Town,Female,5 - 9 years,0.0
2007,Arklow Town,Female,10 - 14 years,0.0
2007,Arklow Town,Female,15 - 19 years,0.0
2007,Arklow Town,Female,20 - 24 years,0.0
2007,Arklow Town,Female,25 - 29 years,1.0
2007,Arklow Town,Female,30 - 34 years,0.0
2007,Arklow Town,Female,35 - 39 years,1.0
2007,Arklow Town,Female,40 - 44 years,0.0
2007,Arklow Town,Female,45 - 49 years,1.0
2007,Arklow Town,Female,50 - 54 years,0.0
2007,Arklow Town,Female,55 - 59 years,2.0
2007,Arklow Town,Female,60 - 64 years,1.0
2007,Arklow Town,Female,65 - 69 years,4.0
2007,Arklow Town,Female,70 - 74 years,8.0
2007,Arklow Town,Female,75 - 79 years,7.0
2007,Arklow Town,Female,80 - 84 years,10.0
2007,Arklow Town,Female,85 years and over,16.0
2007,Arklow Town,Female,All ages,51.0
2007,Bray Town,Both sexes,Under 1 year,2.0
2007,Bray Town,Both sexes,1 - 4 years,0.0
2007,Bray Town,Both sexes,5 - 9 years,0.0
2007,Bray Town,Both sexes,10 - 14 years,0.0
2007,Bray Town,Both sexes,15 - 19 years,2.0
2007,Bray Town,Both sexes,20 - 24 years,2.0
2007,Bray Town,Both sexes,25 - 29 years,1.0
2007,Bray Town,Both sexes,30 - 34 years,2.0
2007,Bray Town,Both sexes,35 - 39 years,3.0
2007,Bray Town,Both sexes,40 - 44 years,3.0
2007,Bray Town,Both sexes,45 - 49 years,5.0
2007,Bray Town,Both sexes,50 - 54 years,4.0
2007,Bray Town,Both sexes,55 - 59 years,11.0
2007,Bray Town,Both sexes,60 - 64 years,13.0
2007,Bray Town,Both sexes,65 - 69 years,16.0
2007,Bray Town,Both sexes,70 - 74 years,20.0
2007,Bray Town,Both sexes,75 - 79 years,31.0
2007,Bray Town,Both sexes,80 - 84 years,32.0
2007,Bray Town,Both sexes,85 years and over,55.0
2007,Bray Town,Both sexes,All ages,202.0
2007,Bray Town,Male,Under 1 year,2.0
2007,Bray Town,Male,1 - 4 years,0.0
2007,Bray Town,Male,5 - 9 years,0.0
2007,Bray Town,Male,10 - 14 years,0.0
2007,Bray Town,Male,15 - 19 years,1.0
2007,Bray Town,Male,20 - 24 years,1.0
2007,Bray Town,Male,25 - 29 years,1.0
2007,Bray Town,Male,30 - 34 years,2.0
2007,Bray Town,Male,35 - 39 years,0.0
2007,Bray Town,Male,40 - 44 years,1.0
2007,Bray Town,Male,45 - 49 years,3.0
2007,Bray Town,Male,50 - 54 years,1.0
2007,Bray Town,Male,55 - 59 years,7.0
2007,Bray Town,Male,60 - 64 years,5.0
2007,Bray Town,Male,65 - 69 years,12.0
2007,Bray Town,Male,70 - 74 years,11.0
2007,Bray Town,Male,75 - 79 years,8.0
2007,Bray Town,Male,80 - 84 years,14.0
2007,Bray Town,Male,85 years and over,12.0
2007,Bray Town,Male,All ages,81.0
2007,Bray Town,Female,Under 1 year,0.0
2007,Bray Town,Female,1 - 4 years,0.0
2007,Bray Town,Female,5 - 9 years,0.0
2007,Bray Town,Female,10 - 14 years,0.0
2007,Bray Town,Female,15 - 19 years,1.0
2007,Bray Town,Female,20 - 24 years,1.0
2007,Bray Town,Female,25 - 29 years,0.0
2007,Bray Town,Female,30 - 34 years,0.0
2007,Bray Town,Female,35 - 39 years,3.0
2007,Bray Town,Female,40 - 44 years,2.0
2007,Bray Town,Female,45 - 49 years,2.0
2007,Bray Town,Female,50 - 54 years,3.0
2007,Bray Town,Female,55 - 59 years,4.0
2007,Bray Town,Female,60 - 64 years,8.0
2007,Bray Town,Female,65 - 69 years,4.0
2007,Bray Town,Female,70 - 74 years,9.0
2007,Bray Town,Female,75 - 79 years,23.0
2007,Bray Town,Female,80 - 84 years,18.0
2007,Bray Town,Female,85 years and over,43.0
2007,Bray Town,Female,All ages,121.0
2007,Wicklow Town,Both sexes,Under 1 year,2.0
2007,Wicklow Town,Both sexes,1 - 4 years,0.0
2007,Wicklow Town,Both sexes,5 - 9 years,0.0
2007,Wicklow Town,Both sexes,10 - 14 years,0.0
